what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1308046404147
processors,sysinfo,,,"1",1308046404149
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308046404149
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1308046404149
java.specification.name,sysinfo,,,"Java Platform API Specification",1308046404149
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308046404149
java.specification.version,sysinfo,,,"1.6",1308046404149
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308046404149
java.version,sysinfo,,,"1.6.0_24",1308046404149
java.vm.info,sysinfo,,,"mixed mode, sharing",1308046404149
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308046404149
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308046404149
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308046404149
java.vm.specification.version,sysinfo,,,"1.0",1308046404149
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308046404149
java.vm.version,sysinfo,,,"19.1-b02",1308046404149
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308046413669
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308046413707
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1308046413732
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046430401
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046452716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046461471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046505055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046509768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046545535
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308046557159
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1308046557760
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1308046557769
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1308046557969
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1308046557977
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1308046557979
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1308046557980
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308046557982
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308046557988
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1308046557998
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1308046557999
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1308046558002
stopped,bundle,com.python.pydev.codecompletion,2.1.0.2011052613,"com.python.pydev.codecompletion",1308046558005
stopped,bundle,com.python.pydev.refactoring,2.1.0.2011052613,"com.python.pydev.refactoring",1308046558006
stopped,bundle,com.python.pydev.analysis,2.1.0.2011052613,"com.python.pydev.analysis",1308046558018
stopped,bundle,com.python.pydev.debug,2.1.0.2011052613,"com.python.pydev.debug",1308046558019
stopped,bundle,com.python.pydev.fastparser,2.1.0.2011052613,"com.python.pydev.fastparser",1308046558025
stopped,bundle,com.python.pydev,2.1.0.2011052613,"com.python.pydev",1308046558025
stopped,bundle,org.python.pydev.django,2.1.0.2011052613,"org.python.pydev.django",1308046558026
stopped,bundle,org.python.pydev.customizations,2.1.0.2011052613,"org.python.pydev.customizations",1308046558027
stopped,bundle,org.python.pydev.red_core,2.1.0.2011052613,"org.python.pydev.red_core",1308046558031
stopped,bundle,org.python.pydev.debug,2.1.0.2011052613,"org.python.pydev.debug",1308046558031
stopped,bundle,org.python.pydev.refactoring,2.1.0.2011052613,"org.python.pydev.refactoring",1308046558032
stopped,bundle,org.python.pydev,2.1.0.2011052613,"org.python.pydev",1308046558033
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1308046558033
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1308046558035
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1308046558040
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1308046558041
